target_id	length	eff_length	est_counts	tpm
AAK85826.1	822	580.031	702	62.3569
AAK85827.2	600	406.106	217	27.5308
AAK85828.2	861	584.4	201	17.7208
AAK85829.2	582	332.743	661	102.351
AAK85830.1	699	427.448	391	47.1294
AAK85831.1	483	252.519	1797	366.65
AAK85832.1	537	305.318	282	47.5878
AAK85833.2	654	443.847	1014	117.707
AAK85834.1	1113	878.001	1927	113.08
AAK85835.1	570	369.483	1214	169.287
AAK85836.1	366	184.552	602	168.064
AAK85837.2	2436	2179.61	3645	86.1625
AAK85838.1	603	387.884	403	53.5306
AAK85839.1	843	620.78	2733	226.83
AAK85840.2	1197	994.441	1101	57.0436
AAK85841.1	768	592.903	496	43.1019
AAK85842.1	663	441.683	1111	129.599
AAK85843.2	1221	953.736	1271	68.6619
AAK85844.2	840	577.145	2431	217.019
AAK85845.1	897	672.195	1488	114.053
AAK85846.1	1344	1076.57	484	23.1634
AAK85847.2	321	146.93	240	84.159
AAK85848.2	3558	3266.51	576	9.08524
AAK85849.1	3186	2917.95	737	13.0133
AAK85850.2	738	492.145	260	27.2194
AAK85851.1	1512	1326.39	1306	50.7307
AAK85852.1	2646	2450.84	2094	44.0211
AAL41059.2	168	48.5021	93	98.7918
AAK85853.1	1401	1247.89	11260	464.902
AAK85854.1	276	113.045	540	246.116
AAK85855.1	402	244.322	872	183.887
AAK85856.1	465	293.506	191	33.5285
AAK85857.1	1791	1473.67	1318	46.0803
AAK85858.2	726	547.406	640	60.2377
AAK85859.2	1611	1339.79	58850	2263.13
AAK85860.2	435	243.366	321	67.9586
AAK85861.2	969	694.268	389	28.8683
AAK85862.2	324	149.317	295	101.791
AAK85863.1	777	536.97	207	19.8618
AAK85864.1	744	536.505	153	14.6932
AAK85865.2	651	421.34	226	27.6359
AAK85866.1	495	276.86	127	23.6342
AAK85867.2	597	387.197	407	54.1578
AAK85868.2	483	282.385	534	97.4311
AAK85869.1	1308	1022.78	1585	79.8445
AAK85870.1	966	853.743	223	13.4579
AAK85871.1	2235	1971.91	2686	70.1808
AAK85872.2	714	462.547	2508	279.364
AAK85873.2	486	269.886	336	64.1441
AAK85874.1	588	377.614	374	51.0295
AAK85875.2	1308	1114.61	204	9.42988
