target_id	length	eff_length	est_counts	tpm
AAK85826.1	822	711.685	274	39.355
AAK85827.2	600	591.199	299	51.6981
AAK85828.2	861	721.356	311	44.0705
AAK85829.2	582	451.437	606	137.219
AAK85830.1	699	578.638	261	46.1074
AAK85831.1	483	370.204	2597	717.08
AAK85832.1	537	480.347	345	73.4178
AAK85833.2	654	600.095	980	166.934
AAK85834.1	1113	1066.21	1178	112.937
AAK85835.1	570	501.005	921	187.912
AAK85836.1	366	307.616	95	31.5683
AAK85837.2	2436	2315.41	2964	130.854
AAK85838.1	603	539.382	722	136.829
AAK85839.1	843	747.971	2436	332.912
AAK85840.2	1197	1123.36	850	77.346
AAK85841.1	768	734.441	210	29.228
AAK85842.1	663	553.244	631	116.587
AAK85843.2	1221	1082.66	2108	199.029
AAK85844.2	840	756.09	3022	408.562
AAK85845.1	897	808.53	1942	245.522
AAK85846.1	1344	1268.37	695	56.0113
AAK85847.2	321	288.84	1008	356.73
AAK85848.2	3558	3392.29	567	17.0855
AAK85849.1	3186	3088.7	517	17.1101
AAK85850.2	738	596.062	232	39.7863
AAK85851.1	1512	1473.26	613	42.5322
AAK85852.1	2646	2570.52	2489	98.9785
AAL41059.2	168	83.7432	191	233.142
AAK85853.1	1401	1351.31	9585	725.063
AAK85854.1	276	227.162	591	265.943
AAK85855.1	402	322.384	814	258.1
AAK85856.1	465	388.597	84	22.0962
AAK85857.1	1791	1596.39	624	39.956
AAK85858.2	726	652.948	742	116.162
AAK85859.2	1611	1447.87	1748	123.41
AAK85860.2	435	370.334	58	16.0093
AAK85861.2	969	830.861	402	49.4579
AAK85862.2	324	276.113	485	179.553
AAK85863.1	777	654.619	304	47.4704
AAK85864.1	744	672.114	280	42.5846
AAK85865.2	651	557.364	364	66.7575
AAK85866.1	495	441.212	132	30.5819
AAK85867.2	597	504.828	345	69.8575
AAK85868.2	483	391.807	810	211.325
AAK85869.1	1308	1126.94	2579	233.931
AAK85870.1	966	971.611	177	18.6216
AAK85871.1	2235	2030.39	3313	166.793
AAK85872.2	714	604.737	4424	747.801
AAK85873.2	486	417.41	179	43.8357
AAK85874.1	588	512.433	377	75.2041
AAK85875.2	1308	1285.93	284	22.5755
AAK85876.2	2487	2372.11	603	25.9848
AAL41084.1	390	315.617	6115.19	1980.56
AAL41085.1	258	201.737	102.433	51.9029
AAK85881.1	1809	1686.47	666	40.3677
AAK85882.1	1233	1102.97	878	81.3706
AAK85883.1	1023	847.899	34767	4191.41
AAK85884.2	1083	1047.97	9003	878.16
AAK85885.1	783	675.943	2292	346.611
AAK85886.1	630	518.173	287	56.6167
AAK85887.2	222	166.195	1516	932.435
AAK85888.1	399	310.14	2040	672.372
AAK85889.2	2082	1971.1	11726	608.105
AAK85890.2	975	937.262	3102	338.313
AAK85891.1	1236	1180.6	766	66.3226
AAK85892.2	1128	998.617	256	26.2047
AAK85893.2	762	675.945	476	71.9835
AAK85894.1	477	460.937	324	71.8522
AAK85895.1	690	692.034	495	73.1165
AAK85896.1	1005	908.817	608	68.3856
AAK85898.2	540	470.464	856	185.988
AAK85899.1	993	821.154	1020	126.973
AAK85901.1	945	906.469	104	11.7278
AAK85902.2	1017	901.221	241	27.3353
AAK85903.1	2142	1904.07	6823	366.294
AAK85904.1	270	222.007	3992	1838.07
AAK85905.1	948	830.942	377	46.3776
AAK85906.1	417	298.9	225	76.9474
AAK85907.1	2742	2518.68	4712	191.236
AAK85908.1	702	652.776	1038	162.544
AAK85909.1	1617	1443.02	5630	398.815
AAK85910.1	597	535.443	2293	437.752
AAK85911.2	1512	1490.6	513	35.1797
AAK85912.1	1266	1246.78	702	57.5553
AAK85913.1	606	545.82	356	66.6711
AAK85914.2	615	546.889	155	28.9714
AAK85915.1	324	270.41	672	254.029
AAK85916.1	1875	1723.08	784	46.5101
AAK85917.2	405	397.099	594	152.906
AAK85918.1	963	977.131	734	76.7858
AAK85919.1	864	757.528	290	39.1324
AAK85920.1	756	628.102	262	42.6391
AAK85921.1	579	497.232	4994	1026.66
AAK85922.2	726	665	127	19.5218
AAK85923.1	2295	2228.73	1203	55.1753
AAK85924.1	459	365.603	104	29.0778
AAL41130.1	195	141.659	680	490.683
AAK85925.2	210	165.972	1450	893.037
AAK85926.2	162	103.481	216	213.37
AAK85928.2	1392	1273.79	2730	219.08
AAK85929.2	447	373.693	196	53.614
AAK85930.1	411	362.08	709	200.161
AAK85931.2	2997	2994.59	2932	100.084
AAK85932.1	720	660.931	57	8.81568
AAK85933.2	186	121.165	147	124.016
AAK85934.2	1869	1931.28	932	49.3297
AAK85935.2	1347	1344.94	270	20.521
AAL41140.1	204	143.448	33	23.5156
AAK85936.2	411	391.313	319	83.3305
AAK85937.1	462	403.897	37	9.36416
AAK85938.1	1506	1441.46	184	13.0483
AAK85939.2	213	171.796	91	54.1458
AAK85940.1	552	459.999	72	15.9998
AAK85941.1	1134	1029.64	2304	228.737
AAK85942.1	1902	1717.72	13511	804.029
AAK85944.2	318	257.143	691	274.689
AAK85945.2	651	620.314	1982	326.61
AAK85947.2	993	903.764	9629	1089.09
AAK85948.2	1506	1354.66	3391	255.878
AAK85949.1	1104	1094.65	771	71.9975
AAK85950.1	972	948.054	486	52.4011
AAK85951.2	405	335.45	455	138.65
AAK85952.1	801	712.414	686	98.4303
AAK85953.2	774	689.574	814	120.665
AAK85954.1	1317	1212.18	251	21.1662
AAK85955.2	537	434.793	225	52.8978
AAK85956.1	630	533.036	640	122.733
AAK85957.1	978	886.069	1140	131.515
AAK85958.1	1221	1103.17	609	56.4304
AAK85959.2	831	780.056	84	11.0076
AAK85960.2	393	349.837	438	127.981
AAK85961.1	627	593.614	1458	251.068
AAK85962.1	2004	1999.13	3588	183.464
AAK85963.2	999	916.857	2767	308.493
AAK85964.1	1323	1226.33	1091	90.9402
AAL41168.1	222	144.877	287	202.498
AAK85965.2	5349	5253.97	1533	29.8258
AAK85966.1	1770	1789.53	635	36.272
AAK85967.2	507	553.471	242	44.6949
AAK85968.2	597	466.443	340	74.5105
AAK85969.2	807	682.457	488	73.0941
AAK85970.2	1224	1050.86	1932	187.932
AAK85972.2	516	476.302	2612	560.568
AAK85973.2	258	217.342	41	19.2832
AAK85974.2	420	351.913	1878	545.504
AAK85975.2	639	548.362	157	29.2664
AAK85976.1	519	504.724	494	100.049
AAK85977.2	711	692.456	135	19.9287
AAK85978.1	1002	870.103	514	60.3851
AAK85979.1	774	713.262	64	9.17209
AAK85980.2	786	724.058	313	44.1884
AAK85981.1	738	677.927	37	5.579
AAK85982.1	1023	969.217	3203	337.811
AAK85983.1	504	406.241	1846	464.5
AAK85984.1	924	787.341	6738	874.794
AAK85985.2	990	944.178	1570	169.974
AAL41189.1	246	189.054	97	52.4473
AAL41190.1	255	186.804	8	4.37765
AAK85986.1	1041	979.047	185	19.3155
